job_id,job_title,company,location,job_description,experience,education,salary,job_type,clean_description,original_length,clean_length,regex_skills,phrase_skills
JOB09719,Machine Learning Engineer,Apex Solutions,Remote,"We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with Docker, Python, Scikit-learn, PyTorch, TensorFlow and AWS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Master's Degree,11-13 LPA,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with docker python scikit learn pytorch tensorflow and aws the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,378,367,"['Python', 'AWS', 'Docker', 'Machine Learning']",['machine learning']
JOB05738,Software Engineer,InnovateLabs,"Gwalior, India","We are looking for a Software Engineer to join our team. The candidate should have experience with SQL, REST API, Java, Git and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,9-11 LPA,Full-time,we are looking for a software engineer to join our team the candidate should have experience with sql rest api java git and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,348,338,"['Python', 'SQL', 'Java']",[]
JOB02311,Frontend Developer,FinEdge Technologies,"Gurgaon, India","We are looking for a Frontend Developer to join our team. The candidate should have experience with JavaScript, REST API, TypeScript and Git. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,7-10 LPA,Full-time,we are looking for a frontend developer to join our team the candidate should have experience with javascript rest api typescript and git the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,354,345,['JavaScript'],[]
JOB08729,Frontend Developer,Vertex Digital,"Delhi, India","We are looking for a Frontend Developer to join our team. The candidate should have experience with TypeScript, JavaScript, REST API and CSS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech/M.Tech,6-11 LPA,Internship,we are looking for a frontend developer to join our team the candidate should have experience with typescript javascript rest api and css the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,354,345,['JavaScript'],[]
JOB09431,Machine Learning Engineer,Quantix Technologies,"Gurgaon, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with Python, AWS, TensorFlow and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech/M.Tech,10-15 LPA,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with python aws tensorflow and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,352,343,"['Python', 'SQL', 'AWS', 'Machine Learning']",['machine learning']
JOB02146,Data Analyst,CodeCraft India,"Noida, India","We are looking for a Data Analyst to join our team. The candidate should have experience with SQL, Excel, Tableau, Statistics and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech,11-16 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with sql excel tableau statistics and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,350,340,"['Python', 'SQL']",[]
JOB09462,Cloud Engineer,CodeCraft India,"Chennai, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Docker, Azure, Linux, AWS, Terraform and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Bachelor's Degree,5-10 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with docker azure linux aws terraform and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,357,346,"['Python', 'AWS', 'Azure', 'Docker']",[]
JOB01747,Data Analyst,CodeCraft India,"Hyderabad, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, SQL, Tableau, Excel and Pandas. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Master's Degree,4-9 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with power bi sql tableau excel and pandas the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,348,338,"['SQL', 'Power BI']",['power bi']
JOB02465,Data Analyst,Apex Solutions,"Bangalore, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Python, Statistics, SQL and Tableau. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Master's Degree,9-14 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with python statistics sql and tableau the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,343,334,"['Python', 'SQL']",[]
JOB09027,Data Analyst,NextGen Systems,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Tableau, Python, Pandas, Power BI, Excel and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,12-14 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with tableau python pandas power bi excel and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,356,345,"['Python', 'SQL', 'Power BI']",['power bi']
JOB01499,Backend Developer,Vertex Digital,"Chennai, India","We are looking for a Backend Developer to join our team. The candidate should have experience with REST API, Docker, Node.js, Java and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Master's Degree,6-9 LPA,Full-time,we are looking for a backend developer to join our team the candidate should have experience with rest api docker node js java and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,355,345,"['Python', 'Java', 'Docker']",[]
JOB01480,Data Scientist,NextGen Systems,"Pune, India","We are looking for a Data Scientist to join our team. The candidate should have experience with NumPy, AWS, Python, Machine Learning and Scikit-learn. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech/M.Tech,9-14 LPA,Full-time,we are looking for a data scientist to join our team the candidate should have experience with numpy aws python machine learning and scikit learn the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,363,353,"['Python', 'AWS', 'Machine Learning']",['machine learning']
JOB03083,Cloud Engineer,Apex Solutions,"Noida, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Azure, Linux, AWS, Docker, Terraform and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Master's Degree,5-7 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with azure linux aws docker terraform and kubernetes the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,350,"['AWS', 'Azure', 'Docker', 'Kubernetes']",[]
JOB05293,Machine Learning Engineer,FinEdge Technologies,"Bangalore, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with SQL, AWS, PyTorch, Scikit-learn and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,B.Tech,,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with sql aws pytorch scikit learn and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,363,353,"['Python', 'SQL', 'AWS', 'Machine Learning']",['machine learning']
JOB03990,Cloud Engineer,NexaWorks,"Gurgaon, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Python, Azure, Docker and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.E.,6-9 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with python azure docker and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,341,332,"['Python', 'Azure', 'Docker']",[]
JOB01727,DevOps Engineer,FinEdge Technologies,Remote,"We are looking for a DevOps Engineer to join our team. The candidate should have experience with Docker, Terraform, AWS and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,8-11 LPA,Part-time,we are looking for a devops engineer to join our team the candidate should have experience with docker terraform aws and kubernetes the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,348,339,"['AWS', 'Docker', 'Kubernetes']",[]
JOB04891,Frontend Developer,BlueOrbit Software,"Hyderabad, India","We are looking for a Frontend Developer to join our team. The candidate should have experience with Git, HTML, REST API, TypeScript and JavaScript. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Bachelor's Degree,9-11 LPA,Full-time,we are looking for a frontend developer to join our team the candidate should have experience with git html rest api typescript and javascript the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,360,350,['JavaScript'],[]
JOB01806,Backend Developer,Quantix Technologies,"Gurgaon, India","We are looking for a Backend Developer to join our team. The candidate should have experience with Docker, Python, PostgreSQL and Node.js. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Master's Degree,10-14 LPA,Full-time,we are looking for a backend developer to join our team the candidate should have experience with docker python postgresql and node js the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,351,342,"['Python', 'Docker']",[]
JOB04803,Backend Developer,CloudSphere,"Mumbai, India","We are looking for a Backend Developer to join our team. The candidate should have experience with PostgreSQL, Docker, REST API, Java and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech,10-14 LPA,Full-time,we are looking for a backend developer to join our team the candidate should have experience with postgresql docker rest api java and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,355,345,"['SQL', 'Java', 'Docker']",[]
JOB08162,DevOps Engineer,Quantix Technologies,"Gwalior, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Linux, Docker, Terraform and AWS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,8-11 LPA,Full-time,we are looking for a devops engineer to join our team the candidate should have experience with linux docker terraform and aws the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,343,334,"['AWS', 'Docker']",[]
JOB05742,Cloud Engineer,Vertex Digital,Remote,"We are looking for a Cloud Engineer to join our team. The candidate should have experience with Docker, Azure, AWS, Terraform, Linux and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Master's Degree,10-15 LPA,Contract,we are looking for a cloud engineer to join our team the candidate should have experience with docker azure aws terraform linux and kubernetes the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,350,"['AWS', 'Azure', 'Docker', 'Kubernetes']",[]
JOB04223,Cloud Engineer,Vertex Digital,"Chennai, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Linux, AWS, Terraform and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech/M.Tech,12-17 LPA,Internship,we are looking for a cloud engineer to join our team the candidate should have experience with linux aws terraform and kubernetes the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,346,337,"['AWS', 'Kubernetes']",[]
JOB09988,Machine Learning Engineer,Apex Solutions,"Pune, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with Python, Docker, TensorFlow, Scikit-learn and PyTorch. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech/M.Tech,11-15 LPA,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with python docker tensorflow scikit learn and pytorch the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,373,363,"['Python', 'Docker', 'Machine Learning']",['machine learning']
JOB06498,DevOps Engineer,InnovateLabs,"Noida, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with AWS, Git, Jenkins, Terraform, Docker and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech/M.Tech,8-11 LPA,Full-time,we are looking for a devops engineer to join our team the candidate should have experience with aws git jenkins terraform docker and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,357,346,"['AWS', 'Docker']",[]
JOB00746,Cloud Engineer,DataBridge Analytics,"Gurgaon, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Linux, Docker, AWS and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Master's Degree,7-9 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with linux docker aws and kubernetes the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,343,334,"['AWS', 'Docker', 'Kubernetes']",[]
JOB05480,Business Analyst,NexaWorks,"Noida, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Tableau, Communication, Business Analysis and Power BI. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech,9-11 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with tableau communication business analysis and power bi the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,366,357,['Power BI'],['power bi']
JOB00711,Data Scientist,Quantix Technologies,"Hyderabad, India","We are looking for a Data Scientist to join our team. The candidate should have experience with NumPy, Scikit-learn, Machine Learning and Pandas. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,12-17 LPA,Full-time,we are looking for a data scientist to join our team the candidate should have experience with numpy scikit learn machine learning and pandas the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,358,349,['Machine Learning'],['machine learning']
JOB00380,Business Analyst,CodeCraft India,"Gwalior, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Business Analysis, Communication, Tableau and Power BI. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,11-15 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with business analysis communication tableau and power bi the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,366,357,['Power BI'],['power bi']
JOB06274,Software Engineer,NextGen Systems,"Gurgaon, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, REST API, Python, Git and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech/M.Tech,,Full-time,we are looking for a software engineer to join our team the candidate should have experience with docker rest api python git and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,350,340,"['Python', 'SQL', 'Docker']",[]
JOB08333,Machine Learning Engineer,Apex Solutions,"Pune, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with Docker, Python, PyTorch, Scikit-learn and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,,6-8 LPA,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with docker python pytorch scikit learn and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,366,356,"['Python', 'SQL', 'Docker', 'Machine Learning']",['machine learning']
JOB08952,Cloud Engineer,Vertex Digital,Remote,"We are looking for a Cloud Engineer to join our team. The candidate should have experience with Linux, AWS, Python, Terraform, Kubernetes and Azure. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,,3-5 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with linux aws python terraform kubernetes and azure the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,350,"['Python', 'AWS', 'Azure', 'Kubernetes']",[]
JOB07319,Frontend Developer,NexaWorks,"Noida, India","We are looking for a Frontend Developer to join our team. The candidate should have experience with Git, REST API, TypeScript, React and HTML. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech/M.Tech,12-17 LPA,Contract,we are looking for a frontend developer to join our team the candidate should have experience with git rest api typescript react and html the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,355,345,[],[]
JOB06415,Data Analyst,Quantix Technologies,"Hyderabad, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, Pandas, SQL, Excel, Statistics and Tableau. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Master's Degree,6-11 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with power bi pandas sql excel statistics and tableau the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,360,349,"['SQL', 'Power BI']",['power bi']
JOB07645,QA Engineer,InnovateLabs,"Gwalior, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Jira, Python, Selenium, SQL and Java. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech/M.Tech,11-16 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with jira python selenium sql and java the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,343,333,"['Python', 'SQL', 'Java']",[]
JOB04081,Machine Learning Engineer,CodeCraft India,"Mumbai, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with PyTorch, TensorFlow, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,10-14 LPA,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with pytorch tensorflow python and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,356,347,"['Python', 'SQL', 'Machine Learning']",['machine learning']
JOB04589,Machine Learning Engineer,TechNova Solutions,"Pune, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with Python, Scikit-learn, SQL and PyTorch. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Master's Degree,10-14 LPA,Contract,we are looking for a machine learning engineer to join our team the candidate should have experience with python scikit learn sql and pytorch the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,358,349,"['Python', 'SQL', 'Machine Learning']",['machine learning']
JOB09387,Software Engineer,Quantix Technologies,"Chennai, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Git, SQL, REST API, Java and C++. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Master's Degree,11-13 LPA,Full-time,we are looking for a software engineer to join our team the candidate should have experience with git sql rest api java and c the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,345,333,"['SQL', 'Java']",[]
JOB03567,Data Scientist,CloudSphere,"Gwalior, India","We are looking for a Data Scientist to join our team. The candidate should have experience with Pandas, AWS, Machine Learning, SQL and Scikit-learn. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,6-9 LPA,Full-time,we are looking for a data scientist to join our team the candidate should have experience with pandas aws machine learning sql and scikit learn the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,351,"['SQL', 'AWS', 'Machine Learning']",['machine learning']
JOB06826,Software Engineer,InnovateLabs,"Gurgaon, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, Python, Git and C++. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech,12-16 LPA,Contract,we are looking for a software engineer to join our team the candidate should have experience with docker python git and c the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,340,329,"['Python', 'Docker']",[]
JOB04943,Business Analyst,CodeCraft India,"Chennai, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Excel, SQL, Tableau, Business Analysis and Communication. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,11-13 LPA,Contract,we are looking for a business analyst to join our team the candidate should have experience with excel sql tableau business analysis and communication the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,368,358,['SQL'],[]
JOB03596,Frontend Developer,DataBridge Analytics,"Bangalore, India","We are looking for a Frontend Developer to join our team. The candidate should have experience with HTML, JavaScript, REST API, React, TypeScript and Git. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,10-13 LPA,Internship,we are looking for a frontend developer to join our team the candidate should have experience with html javascript rest api react typescript and git the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,367,356,['JavaScript'],[]
JOB01314,DevOps Engineer,Quantix Technologies,"Delhi, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Linux, Kubernetes, AWS, Git and Jenkins. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech/M.Tech,11-16 LPA,Full-time,we are looking for a devops engineer to join our team the candidate should have experience with linux kubernetes aws git and jenkins the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,350,340,"['AWS', 'Kubernetes']",[]
JOB08722,Data Analyst,BlueOrbit Software,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, Pandas, Excel and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,8-12 LPA,Internship,we are looking for a data analyst to join our team the candidate should have experience with power bi pandas excel and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,"['Python', 'Power BI']",['power bi']
JOB05838,QA Engineer,CloudSphere,Remote,"We are looking for a QA Engineer to join our team. The candidate should have experience with Jira, Python, Git and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.E.,8-10 LPA,Contract,we are looking for a qa engineer to join our team the candidate should have experience with jira python git and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,332,323,"['Python', 'SQL']",[]
JOB02908,Data Analyst,FinEdge Technologies,"Noida, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Statistics, SQL, Python and Excel. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Master's Degree,9-14 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with statistics sql python and excel the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,341,332,"['Python', 'SQL']",[]
JOB04203,Data Analyst,Vertex Digital,"Gurgaon, India","We are looking for a Data Analyst to join our team. The candidate should have experience with SQL, Power BI, Excel, Statistics and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,Bachelor's Degree,6-11 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with sql power bi excel statistics and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,351,341,"['Python', 'SQL', 'Power BI']",['power bi']
JOB09571,Business Analyst,NextGen Systems,"Chennai, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Tableau, Power BI, Excel, Business Analysis, SQL and Communication. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,6-9 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with tableau power bi excel business analysis sql and communication the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,378,367,"['SQL', 'Power BI']",['power bi']
JOB01286,Business Analyst,DataBridge Analytics,"Pune, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Business Analysis, Communication, Tableau and Excel. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.E.,6-8 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with business analysis communication tableau and excel the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,363,354,[],[]
